"Market Day	",Hour Ending,MWh
41275,1,1909.66
41275,2,1805.82
41275,3,1686.54
41275,4,1534.07
41275,5,1308.42
41275,6,1191.5
41275,7,1291.02
41275,8,1209.55
41275,9,1042.3
41275,10,869.3
41275,11,714.9
41275,12,682.14
41275,13,955.05
41275,14,1372.34
41275,15,1751.62
41275,16,1951.42
41275,17,2042.52
41275,18,2364.75
41275,19,2747.89
41275,20,3420.18
41275,21,3996.53
41275,22,4299.53
41275,23,4387.59
41275,24,4362.09
41276,1,4324.11
41276,2,4359.68
41276,3,4394.88
41276,4,4307.51
41276,5,4113.76
41276,6,3692.15
41276,7,3618.14
41276,8,3516.66
41276,9,3538.11
41276,10,3333.18
41276,11,2769.37
41276,12,2420.55
41276,13,2308.15
41276,14,2458.8
41276,15,2570.22
41276,16,2787.19
41276,17,3007.59
41276,18,2834.45
41276,19,2964.52
41276,20,3365.39
41276,21,3458.98
41276,22,3754.81
41276,23,4157.62
41276,24,4434.32
41277,1,4800.76
41277,2,5023.76
41277,3,5196.18
41277,4,5267.83
41277,5,5457.23
41277,6,5504.11
41277,7,6129.71
41277,8,6138.16
41277,9,6065.03
41277,10,5710.69
41277,11,5249.31
41277,12,5094.36
41277,13,4834.31
41277,14,4793.41
41277,15,4554.73
41277,16,4474.38
41277,17,4298.77
41277,18,4490.12
41277,19,5090.02
41277,20,5922.88
41277,21,6667.51
41277,22,7314.71
41277,23,8151.27
41277,24,8877.49
41278,1,9153.72
41278,2,9342.93
41278,3,9259.91
41278,4,9207.35
41278,5,9174.83
41278,6,9309.1
41278,7,9234.56
41278,8,8996.38
41278,9,9085.39
41278,10,8630.83
41278,11,7204.8
41278,12,5776.61
41278,13,4722.89
41278,14,4129.59
41278,15,3440.35
41278,16,3032.24
41278,17,2789.55
41278,18,2809.13
41278,19,3436.01
41278,20,3811.09
41278,21,4395.68
41278,22,4703.35
41278,23,4383.05
41278,24,4938.48
41279,1,5854.27
41279,2,6426.96
41279,3,5466.38
41279,4,4627.78
41279,5,4464.7
41279,6,4655.42
41279,7,5098.36
41279,8,5314.66
41279,9,5653.31
41279,10,6270.26
41279,11,6290.8
41279,12,6357.62
41279,13,6298.78
41279,14,6138.64
41279,15,6133.25
41279,16,6094.93
41279,17,6151.82
41279,18,6543.07
41279,19,6942.4
41279,20,7492.1
41279,21,7996.94
41279,22,8250.27
41279,23,8496.89
41279,24,8254.33
41280,1,8230.41
41280,2,7870.31
41280,3,7655.13
41280,4,7078.55
41280,5,6399.81
41280,6,5974.86
41280,7,5343.59
41280,8,4812.25
41280,9,4057.8
41280,10,3662.33
41280,11,3024.01
41280,12,2172.75
41280,13,1786.41
41280,14,1760.52
41280,15,1840.34
41280,16,2064.45
41280,17,2439.15
41280,18,3235.11
41280,19,4574.91
41280,20,5992.22
