Sample,Mean Wind Power,Standard Deviation,Average,Variability,NN output,MSE
72,6046.045833,1698.323286,0.604604583,0.566107762,0.600445509,1.73E-05
73,7925.003333,1736.39176,0.792500333,0.578797253,0.791347623,1.33E-06
74,5119.452917,1128.456009,0.511945292,0.376152003,0.512919307,9.49E-07
75,4281.397917,1655.91128,0.428139792,0.551970427,0.431141049,9.01E-06
76,6404.695833,585.3192573,0.640469583,0.195106419,0.647222996,4.56E-05
77,5360.235417,793.4767517,0.536023542,0.264492251,0.529908597,3.74E-05
78,5962.69875,1497.797297,0.596269875,0.499265766,0.610159039,0.000192909
79,2763.112083,1327.664084,0.276311208,0.442554695,0.279709756,1.16E-05
80,7182.89625,1024.66414,0.718289625,0.341554713,0.724087834,3.36E-05
81,6673.980417,1034.990742,0.667398042,0.344996914,0.674179912,4.60E-05
82,1219.720833,874.3390816,0.121972083,0.291446361,0.130450815,7.19E-05
83,3624.90375,2488.272186,0.362490375,0.829424062,0.359187007,1.09E-05
84,5087.463333,2443.92452,0.508746333,0.814641507,0.510141313,1.95E-06
85,6676.131667,1536.767705,0.667613167,0.512255902,0.657690883,9.85E-05
86,7260.9825,933.0613071,0.72609825,0.311020436,0.732827544,4.53E-05
87,3345.47,2816.371156,0.334547,0.938790385,0.34328568,7.64E-05
88,3515.068333,1903.48291,0.351506833,0.634494303,0.362908423,0.000129996
89,6033.387083,786.4535814,0.603338708,0.262151194,0.628524065,0.000634302
90,8700.408333,1739.55866,0.870040833,0.579852887,0.864892483,2.65E-05
91,6015.095833,2682.208405,0.601509583,0.894069468,0.602052093,2.94E-07
92,4187.461667,1728.397094,0.418746167,0.576132365,0.432703763,0.000194814
93,5022.35375,1171.666888,0.502235375,0.390555629,0.498114586,1.70E-05
94,5794.514583,1178.323804,0.579451458,0.392774601,0.580318391,7.52E-07
95,4722.784583,892.6575418,0.472278458,0.297552514,0.479810327,5.67E-05
96,4327.357083,1786.005946,0.432735708,0.595335315,0.432296187,1.93E-07
97,3225.21625,1942.985433,0.322521625,0.647661811,0.338114619,0.000243141
98,5252.85125,1235.315176,0.525285125,0.411771725,0.523519695,3.12E-06
99,6773.678333,1744.624699,0.677367833,0.581541566,0.684455514,5.02E-05
100,5991.130417,2487.436837,0.599113042,0.829145612,0.606592298,5.59E-05
101,3121.5675,1209.864276,0.31215675,0.403288092,0.315564215,1.16E-05
102,5790.58375,896.1067301,0.579058375,0.298702243,0.58104533,3.95E-06
103,7504.190833,1271.933371,0.750419083,0.42397779,0.758477092,6.49E-05
104,7456.661667,1520.170896,0.745666167,0.506723632,0.754871964,8.47E-05
105,3381.455417,1305.345453,0.338145542,0.435115151,0.344269663,3.75E-05
106,7786.039583,534.3101513,0.778603958,0.178103384,0.774443269,1.73E-05
107,3948.038333,2497.370406,0.394803833,0.832456802,0.403460175,7.49E-05
108,4655.43125,2143.071513,0.465543125,0.714357171,0.471104205,3.09E-05
109,6917.200417,1090.015984,0.691720042,0.363338661,0.702625513,0.000118929
110,3848.214583,1065.65958,0.384821458,0.35521986,0.388582498,1.41E-05
111,5455.39875,1530.537132,0.545539875,0.510179044,0.548233032,7.25E-06
112,3986.247917,988.8024599,0.398624792,0.32960082,0.398565739,3.49E-09
113,7267.030417,433.851618,0.726703042,0.144617206,0.725555956,1.32E-06
114,4379.0425,1269.55829,0.43790425,0.423186097,0.440144777,5.02E-06
115,2750.95875,1127.104695,0.275095875,0.375701565,0.277436107,5.48E-06
116,7039.66875,1169.865431,0.703966875,0.389955144,0.701528966,5.94E-06
117,8780.549167,499.0146642,0.878054917,0.166338221,0.893250883,0.000230917
118,8809.357917,670.283129,0.880935792,0.22342771,0.870228887,0.000114638
119,7034.127083,302.0480433,0.703412708,0.100682681,0.707200408,1.43E-05
120,6786.97,403.634069,0.678697,0.13454469,0.674478948,1.78E-05
121,6461.587917,1866.552666,0.646158792,0.622184222,0.641624331,2.06E-05
122,5730.415,1979.736238,0.5730415,0.659912079,0.57543242,5.72E-06
123,4447.29625,1225.655897,0.444729625,0.408551966,0.440359235,1.91E-05
124,4306.456667,500.0452976,0.430645667,0.166681766,0.44029668,9.31E-05
125,3377.43875,952.068134,0.337743875,0.317356045,0.340949953,1.03E-05
126,7154.10875,663.8165849,0.715410875,0.221272195,0.731983066,0.000274638
127,6471.286667,1088.129262,0.647128667,0.362709754,0.651303649,1.74E-05
128,5956.005833,1375.160175,0.595600583,0.458386725,0.60289979,5.33E-05
129,5963.824167,2068.212571,0.596382417,0.68940419,0.602774739,4.09E-05
130,4289.115417,1128.972245,0.428911542,0.376324082,0.428662837,6.19E-08
131,4241.417083,1923.928093,0.424141708,0.641309364,0.430175781,3.64E-05
132,6241.729583,1382.338764,0.624172958,0.460779588,0.617571831,4.36E-05
133,6597.255,1816.971417,0.6597255,0.605657139,0.654464006,2.77E-05
134,2540.277083,1343.392848,0.254027708,0.447797616,0.250272751,1.41E-05
135,5052.714583,1101.539106,0.505271458,0.367179702,0.50993377,2.17E-05
136,1121.034167,832.771499,0.112103417,0.2775905,0.116737634,2.15E-05
137,2131.41,803.1786062,0.213141,0.267726202,0.200474262,0.000160446
138,5997.140417,1284.923928,0.599714042,0.428307976,0.600937903,1.50E-06
139,6712.557917,1623.664755,0.671255792,0.541221585,0.690498233,0.000370272
140,2812.83,971.8739846,0.281283,0.323957995,0.280432284,7.24E-07
141,3624.031667,336.8858277,0.362403167,0.112295276,0.360847414,2.42E-06
142,1999.252917,978.4325309,0.199925292,0.326144177,0.204002097,1.66E-05
143,2245.55625,963.5880152,0.224555625,0.321196005,0.215430394,8.33E-05
144,3559.4525,771.5416992,0.35594525,0.257180566,0.345139325,0.000116768
145,3019.247917,661.3541145,0.301924792,0.220451371,0.299221694,7.31E-06
146,2063.985,586.1320159,0.2063985,0.195377339,0.20736219,9.29E-07
147,1221.2925,525.4917654,0.12212925,0.175163922,0.127772242,3.18E-05
148,2022.233333,927.114371,0.202223333,0.309038124,0.209277585,4.98E-05
149,2928.177917,824.7306635,0.292817792,0.274910221,0.294595718,3.16E-06
150,2777.7875,1164.977409,0.27777875,0.388325803,0.271214515,4.31E-05
151,3318.150833,1062.806457,0.331815083,0.354268819,0.332613021,6.37E-07
152,4227.86125,868.9963871,0.422786125,0.289665462,0.427667439,2.38E-05
153,5350.243333,1579.44212,0.535024333,0.526480707,0.533713877,1.72E-06
154,2494.939583,875.8901796,0.249493958,0.291963393,0.255336702,3.41E-05
155,1606.065,650.24657,0.1606065,0.216748857,0.163156301,6.50E-06
156,2591.940833,720.4154048,0.259194083,0.240138468,0.256274998,8.52E-06
157,1615.58875,1005.528752,0.161558875,0.335176251,0.158586055,8.84E-06
158,3531.148333,419.1129123,0.353114833,0.139704304,0.354731202,2.61E-06
159,1994.12875,468.0941767,0.199412875,0.156031392,0.196245685,1.00E-05
160,1773.337917,765.496288,0.177333792,0.255165429,0.177328318,3.00E-11
161,1846.792083,883.0017384,0.184679208,0.294333913,0.187388077,7.34E-06
162,2250.19625,905.4788341,0.225019625,0.301826278,0.22150968,1.23E-05
163,6000.925833,1346.970903,0.600092583,0.448990301,0.594973683,2.62E-05
164,3584.20125,1272.307366,0.358420125,0.424102455,0.357433021,9.74E-07
165,6571.260833,656.3272696,0.657126083,0.218775757,0.651724219,2.92E-05
166,5740.107083,1431.670209,0.574010708,0.477223403,0.562077761,0.000142395
167,5499.295,953.7511803,0.5499295,0.31791706,0.546966314,8.78E-06
168,4575.571667,480.9033088,0.457557167,0.160301103,0.459974229,5.84E-06
169,5079.348333,818.9479929,0.507934833,0.272982664,0.491331965,0.000275655
170,3810.412083,1471.448719,0.381041208,0.490482906,0.383865714,7.98E-06
171,1902.374583,741.258803,0.190237458,0.247086268,0.180422157,9.63E-05
172,1783.298333,1122.428906,0.178329833,0.374142969,0.185249045,4.79E-05
173,1691.0725,597.0220021,0.16910725,0.199007334,0.179115474,0.000100165
174,1132.395833,404.0086157,0.113239583,0.134669539,0.112498939,5.49E-07
175,1079.8525,348.9583941,0.10798525,0.116319465,0.113156855,2.67E-05
