"Market Day	",Hour Ending,MWh
41651,16,4180.63
41651,17,4379.71
41651,18,4675.69
41651,19,4784.93
41651,20,5367.21
41651,21,5754.11
41651,22,6305.08
41651,23,7061.89
41651,24,7076.99
41652,1,7183.18
41652,2,6737.69
41652,3,6693.4
41652,4,6792
41652,5,7437.61
41652,6,7753.85
41652,7,8018.79
41652,8,7805.73
41652,9,7235.89
41652,10,6731.85
41652,11,6257.58
41652,12,5230.92
41652,13,4178.87
41652,14,3737.31
41652,15,3605.51
41652,16,3318.83
41652,17,3235.93
41652,18,3772.79
41652,19,4844.39
41652,20,6076.53
41652,21,6737.65
41652,22,6928.2
41652,23,7359.24
41652,24,7525.82
41653,1,7207.56
41653,2,6951.37
41653,3,7304.35
41653,4,7550.46
41653,5,8039.51
41653,6,8281.89
41653,7,8507.16
41653,8,8441.23
41653,9,8482.01
41653,10,8459.95
41653,11,8248.93
41653,12,7838.32
41653,13,7969.03
41653,14,7987.79
41653,15,8068.39
41653,16,8374.58
41653,17,8460.4
41653,18,8395.85
41653,19,8027.5
41653,20,7995.96
41653,21,8008.59
41653,22,8097.06
41653,23,8191.08
41653,24,7836.93
41654,1,7391.61
41654,2,6950.53
41654,3,6434.1
41654,4,5623.14
41654,5,5063.7
41654,6,4557.2
41654,7,4233.88
41654,8,3886.24
41654,9,3635.17
41654,10,3147.38
41654,11,2576.56
41654,12,3079.66
41654,13,3769.59
41654,14,4743.48
41654,15,5455.59
41654,16,6226.9
41654,17,7086.18
41654,18,7567.66
41654,19,7526.24
41654,20,7977.55
41654,21,8326.38
41654,22,8853.73
41654,23,9116.03
41654,24,9170.15
41655,1,9080.61
41655,2,9268.52
41655,3,7501.84
41655,4,8697.98
41655,5,8178.1
41655,6,7907.4
41655,7,7956.45
41655,8,8334.6
41655,9,8522.16
41655,10,8666.76
41655,11,8564.41
41655,12,8326.21
41655,13,8114.42
41655,14,8127.25
41655,15,8367.19
41655,16,8519.06
41655,17,8733.8
41655,18,8613.5
41655,19,8426.07
41655,20,8500.76
41655,21,8720.26
41655,22,8555.5
41655,23,8572.4
41655,24,8527.76
41656,1,8290.55
41656,2,8291.59
41656,3,8282.53
41656,4,8248.75
41656,5,8082.73
41656,6,8204.78
41656,7,8079.76
41656,8,7744.35
41656,9,7388.66
41656,10,6951.52
41656,11,6619.22
41656,12,5863.83
41656,13,4633.19
41656,14,3869.74
41656,15,3544.66
41656,16,3409.49
41656,17,3271.45
41656,18,3338.65
41656,19,3512.81
41656,20,3902.38
41656,21,4146.23
41656,22,4592.3
41656,23,5186.77
41656,24,5694.92
41657,1,6574.16
41657,2,7289.54
41657,3,7670.48
41657,4,7788.3
41657,5,7597.9
41657,6,7506.37
41657,7,7623.74
41657,8,7685.03
41657,9,7346.47
41657,10,7138.56
41657,11,6893.56
41657,12,6467.7
41657,13,6610.82
41657,14,6937.52
41657,15,7176.41
41657,16,7048.92
41657,17,6572.85
41657,18,6045.81
41657,19,6001.84
41657,20,6037.84
41657,21,4998.78
41657,22,4695.13
41657,23,5045.52
41657,24,5291.91
41658,1,6339.24
41658,2,7519.21
41658,3,8231.7
41658,4,8678.48
41658,5,9153.95
41658,6,9268.21
41658,7,9219.06
41658,8,9191.86
41658,9,9106.76
41658,10,8948.45
41658,11,8427.65
41658,12,8001.66
41658,13,7084.37
41658,14,6862.45
41658,15,8051.69
41658,16,8451.1
41658,17,8720.21
41658,18,8781.73
41658,19,8698.33
41658,20,8566.9
41658,21,8101.7
41658,22,8035.72
41658,23,7314.1
41658,24,6803.46
41659,1,6210.76
41659,2,5600.85
41659,3,5330.72
41659,4,5435.64
41659,5,5286.5
41659,6,5142.73
41659,7,5189.25
41659,8,5408.69
41659,9,5297.62
41659,10,5026.5
41659,11,4032.27
41659,12,3604.06
41659,13,3926.06
41659,14,4393.39
41659,15,5052.83
41659,16,6135.94
41659,17,6783.14
41659,18,7226.56
41659,19,7391.86
41659,20,7667.26
41659,21,8022.18
41659,22,8108.3
41659,23,8063.03
41659,24,7895.79
41660,1,7623.67
41660,2,7373.81
41660,3,6737.61
41660,4,6153.72
41660,5,5492.39
41660,6,4469.32
41660,7,3527
41660,8,3053.21
41660,9,2675.23
41660,10,2527.38
41660,11,2160.79
41660,12,2159.97
41660,13,2378.18
41660,14,2595.19
41660,15,3007.46
41660,16,3359.78
41660,17,3954.07
41660,18,4362.66
41660,19,4150.43
41660,20,3880.19
41660,21,3585.46
41660,22,3598.44
41660,23,3756.91
41660,24,3919.74
41661,1,4248.48
41661,2,4401.62
41661,3,4874.54
41661,4,5570.75
41661,5,5678.88
41661,6,5964.2
41661,7,6522.13
41661,8,6672.4
41661,9,6647.21
41661,10,6408.06
41661,11,6798.75
41661,12,7521.14
41661,13,7772.27
41661,14,7930.01
41661,15,8186.81
41661,16,8663.71
41661,17,8964.02
41661,18,9046.4
41661,19,9090.65
41661,20,9113.41
41661,21,8900.28
41661,22,8818.95
41661,23,8424.9
41661,24,8162.74
41662,1,7946.98
41662,2,7828.86
41662,3,7643.15
41662,4,7463.24
41662,5,7120.1
41662,6,6820.15
41662,7,6647.84
41662,8,6254.28
41662,9,5798.78
41662,10,5553.94
41662,11,5198.49
41662,12,4508.94
41662,13,4124.74
41662,14,4032.21
41662,15,4066.01
41662,16,4310.44
41662,17,4281.87
41662,18,3769.16
41662,19,3702.89
41662,20,4510.84
41662,21,5766.63
41662,22,7227.34
